Time,Heart Rate
510.143,0.885275
510.576,0.827891
511.013,0.801167
511.481,0.802891
511.946,0.829067
512.41,0.874665
512.882,0.939641
513.365,1.02631
513.859,1.13684
514.35,1.26246
514.833,1.38412
515.28,1.47374
515.699,1.52557
516.131,1.54456
516.593,1.53255
517.054,1.49603
517.518,1.44157
517.991,1.37154
518.473,1.28503
518.966,1.17972
519.455,1.06185
519.933,0.94886
520.388,0.862545
520.816,0.811375
521.255,0.790503
521.728,0.798094
522.189,0.828739
522.653,0.878684
523.127,0.948511
523.614,1.04146
524.111,1.15913
524.599,1.28912
525.08,1.4107
525.515,1.49434
525.932,1.5405
526.366,1.55363
526.83,1.53587
527.289,1.49511
527.754,1.43695
528.228,1.36329
528.712,1.27235
529.207,1.16173
529.694,1.0404
530.17,0.927194
530.616,0.844872
531.04,0.79786
531.482,0.781056
531.956,0.792696
532.414,0.826377
532.88,0.879452
533.355,0.952976
533.844,1.051
534.343,1.17456
534.83,1.30829
535.308,1.43025
535.735,1.51031
536.149,1.55292
536.585,1.56216
537.049,1.5406
537.506,1.49696
537.972,1.43619
538.446,1.35988
538.933,1.26556
539.429,1.15066
539.914,1.02628
540.387,0.912083
540.828,0.831603
541.249,0.786674
541.692,0.772072
542.166,0.785961
542.622,0.821336
543.088,0.876248
543.564,0.952112
544.056,1.05367
544.556,1.18187
545.041,1.31916
545.518,1.44301
545.94,1.52218
546.352,1.56348
546.788,1.57094
547.25,1.54742
547.706,1.50219
548.171,1.4399
548.646,1.36201
549.134,1.26557
549.631,1.14752
550.115,1.02014
550.587,0.903631
551.024,0.822471
551.442,0.777485
551.884,0.763117
552.358,0.777502
552.813,0.813239
553.278,0.868634
553.755,0.945296
554.247,1.04856
554.75,1.18008
555.233,1.32094
555.711,1.4489
556.13,1.53009
556.539,1.57244
556.972,1.58035
557.434,1.5567
557.888,1.51111
558.353,1.44839
558.828,1.37005
559.315,1.27293
559.813,1.15305
560.298,1.02259
560.769,0.902223
561.206,0.817587
561.621,0.770316
562.059,0.754141
562.533,0.767258
562.986,0.802033
563.451,0.856533
563.927,0.932344
564.419,1.03521
564.924,1.16847
565.407,1.31287
565.887,1.44721
566.307,1.5337
566.712,1.5796
567.14,1.59032
567.601,1.56846
